Style,Color,Collection,Optical,SKU,Male,Female,Active
Roark,Hazelwood,First Collection,Optical,Roark-211,0,0,0
Roark,Revolver Black Crystal,First Collection,Optical,Roark-102,0,0,0
Roark,Sandalwood Matte,First Collection,Optical,Roark-210,0,0,0
Roosevelt,Bondi Blue,First Collection,Optical,Roosevelt-603,1,1,1
Roosevelt,Revolver Black Matte,First Collection,Optical,Roosevelt-101,1,1,1
Roosevelt,Striped Chestnut,First Collection,Optical,Roosevelt-230,1,1,1
Sheridan,Crystal Matte,First Collection,Optical,Sheridan-502,0,0,0
Sheridan,Revolver Black,First Collection,Optical,Sheridan-100,0,0,0
Sheridan,Striped Chestnut,First Collection,Optical,Sheridan-230,0,0,0
Sibley,Amber,First Collection,Optical,Sibley-220,1,1,1
Sibley,Revolver Black,First Collection,Optical,Sibley-100,1,1,1
Sibley,Whiskey Tortoise Matte,First Collection,Optical,Sibley-201,1,1,1
Thompson,Crystal Matte,First Collection,Optical,Thompson-502,1,1,1
Thompson,Revolver Black,First Collection,Optical,Thompson-100,1,1,1
Thompson,Whiskey Tortoise,First Collection,Optical,Thompson-200,1,1,1
Webb,Amber,First Collection,Optical,Webb-220,1,1,1
Webb,Crystal,First Collection,Optical,Webb-500,0,0,0
Webb,Crystal Matte,First Collection,Optical,Webb-502,0,0,0
Webb,Revolver Black Crystal,First Collection,Optical,Webb-102,1,1,1
Webb,Whiskey Tortoise Matte,First Collection,Optical,Webb-201,1,1,1
Wiloughby,Checkered Revolver,First Collection,Optical,Wiloughby-503,0,0,0
Wiloughby,Striped Chestnut,First Collection,Optical,Wiloughby-230,1,1,1
Wiloughby,Tennessee Whiskey,First Collection,Optical,Wiloughby-203,1,1,1
Zagg,Revolver Black Matte,First Collection,Optical,Zagg-101,1,1,1
Zagg,Striped Chestnut,First Collection,Optical,Zagg-230,1,1,1
Zagg,Tennessee Whiskey,First Collection,Optical,Zagg-203,1,1,1
Crane,Mallard Green,Holiday 2012 Collection,Optical,Crane-630,1,1,1
Crane,Whiskey Tortoise,Holiday 2012 Collection,Optical,Crane-200,1,1,1
Downing,Revolver Black,Holiday 2012 Collection,Optical,Downing-100,1,1,1
Downing,Walnut Tortoise,Holiday 2012 Collection,Optical,Downing-242,1,1,1
Duckworth,Marine Slate,Holiday 2012 Collection,Optical,Duckworth-340,1,1,1
Duckworth,Revolver Black Matte,Holiday 2012 Collection,Optical,Duckworth-101,1,1,1
Mallory,Blue Marblewood,Holiday 2012 Collection,Optical,Mallory-140,0,1,1
Mallory,Gimlet Tortoise,Holiday 2012 Collection,Optical,Mallory-235,0,1,1
Neville,Redwood Ash,Holiday 2012 Collection,Optical,Neville-262,0,0,0
Begley,Cedar Tortoise,Spring 2012 Collection,Optical,Begley-310,1,1,1
Bensen,Greystone,Spring 2012 Collection,Optical,Bensen-150,1,1,1
Bensen,Whiskey Tortoise,Spring 2012 Collection,Optical,Bensen-200,1,1,1
Linwood,Revolver Black,Spring 2012 Collection,Optical,Linwood-100,1,1,1
Linwood,Striped Chestnut,Spring 2012 Collection,Optical,Linwood-230,1,1,1
Nedwin,Cedar Tortoise,Spring 2012 Collection,Optical,Nedwin-310,1,1,1
Preston,Gimlet Tortoise,Spring 2012 Collection,Optical,Preston-235,1,1,1
Roosevelt,Crystal,First Collection,Optical,Roosevelt-500,1,1,1
Roosevelt,Cedar Tortoise,Spring 2012 Collection,Optical,Roosevelt-310,1,1,1
Zagg,Cedar Tortoise,Spring 2012 Collection,Optical,Zagg-310,1,1,1
Ballard,Gimlet Tortoise,Spring 2013 Collection,Optical,Ballard-235,1,1,1
Ballard,Striped Chestnut,Spring 2013 Collection,Optical,Ballard-230,1,1,1
Crane,Sugar Maple,Spring 2013 Collection,Optical,Crane-280,1,1,1
Fitz,Walnut Tortoise,Spring 2013 Collection,Optical,Fitz-242,1,1,1
Preston,Blue Marblewood,Spring 2013 Collection,Optical,Preston-140,1,1,1
Wilkie,Sugar Maple,Spring 2013 Collection,Optical,Wilkie-280,1,1,1
Wilkie,Whiskey Tortoise,Spring 2013 Collection,Optical,Wilkie-200,1,1,1
Wiloughby,Revolver Black,Spring 2013 Collection,Optical,Wiloughby-100,1,1,1
Ainsworth,Striped Chestnut,Summer 2012 Collection,Optical,Ainsworth-230,1,1,1
Ainsworth,Walnut Tortoise,Summer 2012 Collection,Optical,Ainsworth-242,1,1,1
Holt,Blue Slate Fade,Summer 2012 Collection,Optical,Holt-353,1,1,1
Holt,Striped Sassafras,Summer 2012 Collection,Optical,Holt-256,1,1,1
Percey,Charcoal Fade,Summer 2012 Collection,Optical,Percey-133,1,1,1
Percey,Striped Sassafras,Summer 2012 Collection,Optical,Percey-256,1,1,1
Reynold,Revolver Black,Summer 2012 Collection,Optical,Reynold-100,1,1,1
Reynold,Striped Evergreen,Summer 2012 Collection,Optical,Reynold-231,1,1,1
Sims,Burgundy Fade,Summer 2012 Collection,Optical,Sims-313,0,1,1
Sims,Striped Sassafras,Summer 2012 Collection,Optical,Sims-256,0,1,1
Beckett,Aqua Tonic with Black Temple,Summer Crystals,Optical,Beckett-551,0,0,0
Preston,Bellini,Summer Crystals,Optical,Preston-540,0,0,0
Wiloughby,Earl Grey with Black Temple,Summer Crystals,Optical,Wiloughby-511,0,0,0
Clement,Brushed Cast Iron,Titanium Collection,Optical,Clement-2103,1,0,1
Clement,Brushed Silver,Titanium Collection,Optical,Clement-2305,1,0,1
Edison,Brushed Ink,Titanium Collection,Optical,Edison-2101,1,0,1
Edison,Brushed Platinum,Titanium Collection,Optical,Edison-2301,1,0,1
Ellsworth,Brushed Ink,Titanium Collection,Optical,Ellsworth-2101,1,1,1
Ellsworth,Brushed Platinum,Titanium Collection,Optical,Ellsworth-2301,1,1,1
Gladstone,Brushed Granite,Titanium Collection,Optical,Gladstone-2151,1,0,1
