Style,Color,Collection,Optical,SKU,Male,Female,Active
Thatcher,Revolver Black Matte,First Sun Collection,Sun,Thatcher-101,1,1,1
Thatcher,Striped Sassafras,Summer 2012 Collection,Sun,Thatcher-256,1,1,1
Thatcher,Whiskey Tortoise,RX Sun Launch Collection,Sun,Thatcher-200,1,1,1
Winston,Lunar Fade,RX Sun Launch Collection,Sun,Winston-143,1,1,1
Winston,Old Fashioned Fade,RX Sun Launch Collection,Sun,Winston-273,1,1,1
Winston,Revolver Black,RX Sun Launch Collection,Sun,Winston-100,1,1,1
Winston,Striped Sassafras,Summer 2012 Collection,Sun,Winston-256,1,1,1
Aldous,Graphite ,WP x Pencils of Promise,Sun,Aldous-930,0,0,0
Everett,Buckwheat Honey ,WP x Pencils of Promise,Sun,Everett-931,0,0,0
Winston,Striped Ale,WP x Standard,Sun,Winston-248,0,0,0
Begley,Cedar Tortoise,RX Sun Launch Collection,Sun,Begley-310,0,0,0
Roosevelt,Cedar Tortoise,RX Sun Launch Collection,Sun,Roosevelt-310,0,0,0
Preston,Gimlet Tortoise,RX Sun Launch Collection,Sun,Preston-235,1,1,1
Neville,Sugar Maple,Hayworth,Optical,Neville-280,1,1,1
Neville,Sugar Maple,Hayworth,Sun,Neville-280,1,1,1
Neville,Blue Marblewood,Hayworth,Optical,Neville-140,0,0,0
Neville,Blue Marblewood,Hayworth,Sun,Neville-140,1,1,1
Edgeworth,Striped Sassafras,Hayworth,Optical,Edgeworth-256,0,0,0
Edgeworth,Striped Sassafras,Hayworth,Sun,Edgeworth-256,0,0,0
Edgeworth,English Oak,Hayworth,Optical,Edgeworth-270,0,0,0
Edgeworth,English Oak,Hayworth,Sun,Edgeworth-270,0,0,0
Greeley,Brushed Granite,Drafting Collection,Optical,#REF!,1,1,1
Greeley,Brushed Bark,Drafting Collection,Optical,#REF!,1,1,1
Chapman,Brushed Granite,Drafting Collection,Optical,#REF!,1,1,1
Chapman,Brushed Ink,Drafting Collection,Optical,#REF!,1,1,1
Walden,Brushed Granite,Drafting Collection,Optical,#REF!,1,1,1
Quincy,Brushed Bark,Drafting Collection,Optical,#REF!,1,1,1
Ellsworth,Brushed Bark,Drafting Collection,Optical,#REF!,1,1,1
Ainsworth,Elderberry,Summer 2013 Collection,Optical,Ainsworth-761,1,1,1
Aldous,English Oak,Summer 2013 Collection,Sun,Aldous-270,1,1,1
Arthur,Gimlet Tortoise,Summer 2013 Collection,Optical,Arthur-235,1,1,1
Arthur,Green Spruce,Summer 2013 Collection,Optical,Arthur-710,1,1,1
Arthur,Sugar Maple,Summer 2013 Collection,Optical,Arthur-280,1,1,1
Baxter,Catalina Blue,Summer 2013 Collection,Optical,Baxter-740,1,1,1
Baxter,Pinot Noir,Summer 2013 Collection,Optical,Baxter-730,1,1,1
Baxter,Striped Sassafras,Summer 2013 Collection,Optical,Baxter-256,1,1,1
Boyd,Marbled Charcoal,Summer 2013 Collection,Sun,Boyd-190,0,1,1
Boyd,Marbled Sandstone,Summer 2013 Collection,Sun,Boyd-290,0,1,1
Chandler,Pinot Noir,Summer 2013 Collection,Optical,Chandler-731,1,1,1
Northcote,Catalina Blue,Summer 2013 Collection,Optical,Northcote-740,1,1,1
Northcote,Whiskey Tortoise,Summer 2013 Collection,Optical,Northcote-200,1,1,1
Paley,Whiskey Tortoise,Summer 2013 Collection,Sun,Paley-200,1,1,1
Sibley,Catalina Blue,Summer 2013 Collection,Optical,Sibley-740,1,1,1
Sims,Violet Magnolia,Summer 2013 Collection,Optical,Sims-252,0,1,1
Theo,Blue Marblewood,Summer 2013 Collection,Optical,Theo-141,1,1,1
Theo,Whiskey Tortoise,Summer 2013 Collection,Optical,Theo-200,1,1,1
Watts,Bombay Blue,Summer 2013 Collection,Optical,Watts-751,1,1,1
Watts,Sugar Maple,Summer 2013 Collection,Optical,Watts-280,1,1,1
Marshall,Sugar Maple,Summer 2013 Collection,Optical,Marshall-280,0,1,1
